label_name,target,method,params,group_names,k_declared,k_observed,group_sizes,n_unassigned,degenerate,empty_groups,constant,on_degenerate,written,source_id,source_citation,note
snap_inatt__qbin,snap_inatt,quantile,"{""duplicates"": ""drop"", ""k"": 2}","[""low"", ""high""]",2,2,"{""0"": 12, ""1"": 12}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_inatt__qter,snap_inatt,quantile,"{""duplicates"": ""drop"", ""k"": 3}","[""low"", ""mid"", ""high""]",3,3,"{""0"": 8, ""1"": 8, ""2"": 8}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_inatt__qquar,snap_inatt,quantile,"{""duplicates"": ""drop"", ""k"": 4}","[""q1"", ""q2"", ""q3"", ""q4""]",4,4,"{""0"": 8, ""1"": 4, ""2"": 6, ""3"": 6}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_hyper__qbin,snap_hyper,quantile,"{""duplicates"": ""drop"", ""k"": 2}","[""low"", ""high""]",2,2,"{""0"": 13, ""1"": 11}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_hyper__qter,snap_hyper,quantile,"{""duplicates"": ""drop"", ""k"": 3}","[""low"", ""mid"", ""high""]",3,3,"{""0"": 11, ""1"": 6, ""2"": 7}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_hyper__qquar,snap_hyper,quantile,"{""duplicates"": ""drop"", ""k"": 4}","[""q1"", ""q2"", ""q3"", ""q4""]",4,4,"{""0"": 11, ""1"": 2, ""2"": 7, ""3"": 4}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_odd__qbin,snap_odd,quantile,"{""duplicates"": ""drop"", ""k"": 2}","[""low"", ""high""]",2,2,"{""0"": 15, ""1"": 9}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_odd__qter,snap_odd,quantile,"{""duplicates"": ""drop"", ""k"": 3}","[""low"", ""mid"", ""high""]",3,3,"{""0"": 8, ""1"": 10, ""2"": 6}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_odd__qquar,snap_odd,quantile,"{""duplicates"": ""drop"", ""k"": 4}","[""q1"", ""q2"", ""q3"", ""q4""]",4,4,"{""0"": 7, ""1"": 8, ""2"": 3, ""3"": 6}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_adhd_total__qbin,snap_adhd_total,quantile,"{""duplicates"": ""drop"", ""k"": 2}","[""low"", ""high""]",2,2,"{""0"": 12, ""1"": 12}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_adhd_total__qter,snap_adhd_total,quantile,"{""duplicates"": ""drop"", ""k"": 3}","[""low"", ""mid"", ""high""]",3,3,"{""0"": 8, ""1"": 8, ""2"": 8}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
snap_adhd_total__qquar,snap_adhd_total,quantile,"{""duplicates"": ""drop"", ""k"": 4}","[""q1"", ""q2"", ""q3"", ""q4""]",4,4,"{""0"": 7, ""1"": 5, ""2"": 7, ""3"": 5}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_hyper__qbin,sdq_hyper,quantile,"{""duplicates"": ""drop"", ""k"": 2}","[""low"", ""high""]",2,2,"{""0"": 14, ""1"": 10}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_hyper__qter,sdq_hyper,quantile,"{""duplicates"": ""drop"", ""k"": 3}","[""low"", ""mid"", ""high""]",3,3,"{""0"": 8, ""1"": 8, ""2"": 8}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_hyper__qquar,sdq_hyper,quantile,"{""duplicates"": ""drop"", ""k"": 4}","[""q1"", ""q2"", ""q3"", ""q4""]",4,4,"{""0"": 8, ""1"": 6, ""2"": 6, ""3"": 4}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_emo__qbin,sdq_emo,quantile,"{""duplicates"": ""drop"", ""k"": 2}","[""low"", ""high""]",2,2,"{""0"": 12, ""1"": 12}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_emo__qter,sdq_emo,quantile,"{""duplicates"": ""drop"", ""k"": 3}","[""low"", ""mid"", ""high""]",3,3,"{""0"": 8, ""1"": 9, ""2"": 7}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_emo__qquar,sdq_emo,quantile,"{""duplicates"": ""drop"", ""k"": 4}","[""q1"", ""q2"", ""q3"", ""q4""]",4,3,"{""0"": 12, ""1"": 6, ""2"": 6, ""3"": 0}",0,True,[3],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_cond__qbin,sdq_cond,quantile,"{""duplicates"": ""drop"", ""k"": 2}","[""low"", ""high""]",2,2,"{""0"": 16, ""1"": 8}",0,False,[],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
sdq_cond__qter,sdq_cond,quantile,"{""duplicates"": ""drop"", ""k"": 3}","[""low"", ""mid"", ""high""]",3,2,"{""0"": 16, ""1"": 0, ""2"": 8}",0,True,[1],False,keep,True,sample_internal,(无外部文献)切点在本数据自己的 24 人分布上算出,
